breakdown step partitionid runtime
WorkStealingComputation 1 106 1667
InitialComputation 1 107 630
WorkStealingComputation 1 107 1527
InitialComputation 1 108 437
WorkStealingComputation 1 108 1733
InitialComputation 1 109 423
WorkStealingComputation 1 109 1692
InitialComputation 1 110 591
WorkStealingComputation 1 110 1557
InitialComputation 1 111 423
WorkStealingComputation 1 111 1748
InitialComputation 1 112 497
WorkStealingComputation 1 112 1631
InitialComputation 1 113 571
WorkStealingComputation 1 113 1592
InitialComputation 1 114 333
WorkStealingComputation 1 114 1856
InitialComputation 1 115 376
WorkStealingComputation 1 115 1806
InitialComputation 1 116 511
WorkStealingComputation 1 116 1668
InitialComputation 1 117 652
WorkStealingComputation 1 117 1535
InitialComputation 1 118 465
WorkStealingComputation 1 118 1660
InitialComputation 1 119 391
WorkStealingComputation 1 119 1707
InitialComputation 1 120 601
WorkStealingComputation 1 120 1552
InitialComputation 1 121 461
WorkStealingComputation 1 121 1733
InitialComputation 1 122 509
WorkStealingComputation 1 122 1687
InitialComputation 1 123 568
WorkStealingComputation 1 123 1599
InitialComputation 1 124 343
WorkStealingComputation 1 124 1879
InitialComputation 1 125 354
WorkStealingComputation 1 125 1793
InitialComputation 1 126 536
WorkStealingComputation 1 126 1645
InitialComputation 1 127 659
WorkStealingComputation 1 127 1480
InitialComputation 1 128 460
WorkStealingComputation 1 128 1673
InitialComputation 1 129 423
WorkStealingComputation 1 129 1699
InitialComputation 1 130 581
WorkStealingComputation 1 130 1487
InitialComputation 1 131 447
WorkStealingComputation 1 131 1742
InitialComputation 1 132 514
WorkStealingComputation 1 132 1623
InitialComputation 1 133 367
WorkStealingComputation 1 133 1795
InitialComputation 1 134 318
WorkStealingComputation 1 134 1889
InitialComputation 1 135 391
WorkStealingComputation 1 135 1803
InitialComputation 1 136 509
WorkStealingComputation 1 136 1676
InitialComputation 1 137 1028
WorkStealingComputation 1 137 1114
InitialComputation 1 138 927
WorkStealingComputation 1 138 1252
InitialComputation 1 139 879
WorkStealingComputation 1 139 1236
InitialComputation 1 140 1009
WorkStealingComputation 1 140 1145
InitialComputation 1 141 925
WorkStealingComputation 1 141 1255
InitialComputation 1 142 913
WorkStealingComputation 1 142 1209
InitialComputation 1 143 932
WorkStealingComputation 1 143 1265
InitialComputation 1 144 1017
WorkStealingComputation 1 144 1186
InitialComputation 1 145 971
